ticker,fiscal_year,fiscal_period,report_date,revenue,gross_profit,operating_income,pretax_income,net_income,net_income_common,currency
LAC,2022,FY,2022-12-31,,,-15998000,-32527000,-93568000,-93568000,USD
LAC,2023,FY,2023-12-31,,,-23713000,28240000,1288369000,1288369000,USD
LAD,2020,FY,2020-12-31,13126500000,2224300000,700600000,648500000,470300000,470300000,USD
LAD,2021,FY,2021-12-31,22831700000,4259000000,1664400000,1484800000,1060100000,1060100000,USD
LAD,2022,FY,2022-12-31,28187800000,5152400000,1945100000,1730000000,1251000000,1251000000,USD
LAD,2023,FY,2023-12-31,31042300000,5228900000,1738300000,1362300000,1000800000,1000800000,USD
LAKE,2019,FY,2020-01-31,107809000,37897000,5876000,5753000,3281000,3281000,USD
LAKE,2020,FY,2021-01-31,159000000,79283000,43886000,43913000,35330000,35330000,USD
LAKE,2021,FY,2022-01-31,118386000,50913000,16047000,16153000,11372000,11372000,USD
LAKE,2022,FY,2023-01-31,112846000,45849000,5541000,5471000,1873000,1873000,USD
LAKE,2023,FY,2024-01-31,124688000,51192000,5992000,9355000,5425000,5425000,USD
LAMR,2020,FY,2020-12-31,1568856000,1011195000,401081000,248046000,243386000,243021000,USD
LAMR,2021,FY,2021-12-31,1787401000,1210894000,519072000,397346000,388090000,387725000,USD
LAMR,2022,FY,2022-12-31,2032140000,1364852000,562280000,456099000,438647000,438282000,USD
LAMR,2023,FY,2023-12-31,2110987000,1414188000,669960000,506618000,495763000,495398000,USD
LANC,2020,FY,2020-06-30,1334388000,358036000,177091000,179077000,136983000,136983000,USD
LANC,2021,FY,2021-06-30,1467067000,386723000,181360000,185745000,142332000,142332000,USD
LANC,2022,FY,2022-06-30,1676390000,355719000,143621000,112388000,89586000,89586000,USD
LANC,2023,FY,2023-06-30,1822527000,388568000,166477000,143297000,111286000,111286000,USD
LANC,2024,FY,2024-06-30,1871759000,432302000,214237000,205515000,158613000,158613000,USD
LAND,2020,FY,2020-12-31,57031000,,27651000,6788000,6759000,-4396000,USD
LAND,2021,FY,2021-12-31,75318000,,31704000,6559000,6540000,-8763000,USD
LAND,2022,FY,2022-12-31,89236000,,34774000,7710000,7702000,-15010000,USD
LAND,2023,FY,2023-12-31,90398000,,33483000,17538000,17538000,-9852000,USD
LANV,2021,FY,2021-12-31,365165547,200900055,-127720795,-85279236,-77277620,-77277620,USD
LANV,2022,FY,2022-12-31,444159408,250253524,-149626879,-252289679,-229582766,-229582766,USD
LANV,2023,FY,2023-12-31,461196635,271561662,-128298714,-154583518,-139938524,-139938524,USD
LASR,2020,FY,2020-12-31,222789000,59364000,-21048000,-20592000,-20932000,-20932000,USD
LASR,2021,FY,2021-12-31,270146000,77307000,-30217000,-30044000,-29669000,-29669000,USD
LASR,2022,FY,2022-12-31,242058000,50821000,-51210000,-54235000,-54579000,-54579000,USD
LASR,2023,FY,2023-12-31,209921000,46113000,-45949000,-42648000,-41670000,-41670000,USD
LAUR,2023,FY,2023-12-31,1484288000,394507000,341895000,254461000,107590000,107590000,USD
LAWS,2020,FY,2020-12-31,351591000,186538000,20550000,20785000,15113000,15113000,USD
LAWS,2021,FY,2021-12-31,520290000,130278000,11421000,-4739000,-5052000,-5052000,USD
LAWS,2022,FY,2022-12-31,1151422000,390898000,41786000,12937000,7406000,7406000,USD
LAWS,2023,FY,2023-12-31,1570402000,551875000,42991000,-2007000,-8967000,-8967000,USD
LAZ,2023,FY,2023-12-31,2593162000,2515489000,-50851000,-79957000,-75479000,-75479000,USD
LAZY,2021,FY,2021-12-31,1235048000,323490000,124094000,110263000,82021000,77220000,USD
LAZY,2022,FY,2022-12-31,1326961000,328691000,89715000,85576000,66393000,61592000,USD
LAZY,2023,FY,2023-12-31,1082747000,228742000,11925000,-140728000,-110266000,-115066000,USD
LBPH,2020,FY,2020-12-31,,,-14400000,-14400000,-14400000,-14400000,USD
LBPH,2021,FY,2021-12-31,,,-27839000,-27797000,-27797000,-27797000,USD
LBPH,2022,FY,2022-12-31,,,-44798000,-43945000,-43945000,-43945000,USD
LBPH,2023,FY,2023-12-31,,,-56759000,-54422000,-54422000,-54422000,USD
LBRDA,2020,FY,2020-12-31,51000000,,-60000000,361000000,398000000,398000000,USD
LBRDA,2021,FY,2021-12-31,988000000,,-3000000,950000000,732000000,732000000,USD
LBRDA,2022,FY,2022-12-31,975000000,,28000000,1534000000,1257000000,1257000000,USD
LBRDA,2023,FY,2023-12-31,981000000,,73000000,888000000,688000000,688000000,USD
LBRT,2020,FY,2020-12-31,965787000,107806000,-156376000,-191531000,-115583000,-115583000,USD
LBRT,2021,FY,2021-12-31,2470782000,220856000,-165307000,-177788000,-179244000,-179244000,USD
LBRT,2022,FY,2022-12-31,4149228000,1000192000,497124000,399509000,399602000,399602000,USD
LBRT,2023,FY,2023-12-31,4747928000,1398558000,755638000,734890000,556317000,556317000,USD
LBUY,2020,FY,2020-06-30,2528356,760501,-4492004,1302375,1302375,1302375,USD
LBUY,2021,FY,2021-06-30,2666829,723146,-2331491,-5033062,-5029381,-5029381,USD
LBUY,2022,FY,2022-06-30,3807053,1093377,-1604936,955695,955695,955695,USD
LBUY,2023,FY,2023-06-30,5090846,2248060,-420223,-585211,-585211,-585211,USD
LCAHU,2021,FY,2021-12-31,,,-3128656,9194076,9194076,9194076,USD
